country,country_code,income_group,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Afganistán,AFG,Países de ingreso bajo,,,,,,,,,,,13.26000023,,,65.88999939,,,,
Angola,AGO,Países de ingreso mediano bajo,38.34000015,,,,,30.85000038,,12.22999954,,,33.56000137,,,,,,,
Albania,ALB,Ingreso mediano alto,,,,36.74000168,30.79999924,35.75999832,33.41999817,32.52000046,29.69000053,32.04000092,32.65000153,31.28000069,27.62000084,27.61000061,27.77000046,25.45000076,,
Argentina,ARG,Ingreso mediano alto,25.81999969,24.45999908,24.76000023,,24.43000031,24.34000015,24.21999931,22.97999954,23.10000038,24,24.51000023,,,22.78000069,22.48999977,21.69000053,,
Armenia,ARM,Ingreso mediano alto,,,,,,40.84999847,,44.45999908,39.27999878,42.56999969,38.49000168,34.79999924,37.83000183,37.52999878,33.72999954,28.70999908,,
Australia,AUS,Ingreso alto,,,,,,12.57999992,11.85000038,11.73999977,10.39999962,11.77000046,10.5,10.19999981,9.06000042,8.960000038,,,,
Austria,AUT,Ingreso alto,9.489999771,8.829999924,8.119999886,7.889999866,7.96999979,8.659999847,7.679999828,7.25,6.960000038,7.440000057,7.429999828,7.309999943,7.420000076,6.03000021,7.059999943,7.260000229,,
Burundi,BDI,Países de ingreso bajo,,,,,,,,,,,3.680000067,,,5.980000019,,,,
Bélgica,BEL,Ingreso alto,8.819999695,13.56000042,12.34000015,12.14999962,11.10000038,11.68000031,10.94999981,12.02999973,12.18000031,12.10000038,11.48999977,11.81999969,9.710000038,8.659999847,8.930000305,8.390000343,,
Bangladesh,BGD,Países de ingreso mediano bajo,,56.91999817,58.93000031,,,,44.90999985,,,30.68000031,0,,46.99000168,44.54999924,,,,
Bulgaria,BGR,Ingreso mediano alto,25.87000084,26.47999954,24.65999985,20.62000084,19.31999969,20.87000084,21.80999947,21.87000084,21.48999977,21.10000038,21.35000038,19.97999954,19.39999962,17.15999985,16.82999992,14.76000023,,
Bosnia y Herzegovina,BIH,Ingreso mediano alto,,,35.33000183,31.46999931,27.93000031,25.76000023,28.14999962,26.38999939,26.44000053,24.35000038,24.38999939,26.35000038,25.23999977,24.32999992,21.64999962,21.68000031,,
Belice,BLZ,Países de ingreso mediano bajo,,,,,,,,,13.72000027,41.49000168,40.38999939,40.58000183,39.34999847,39.43999863,,,,
Bolivia,BOL,Países de ingreso mediano bajo,,18.34000015,17.70999908,17.57999992,14.88000011,14.86999989,,17.46999931,17.01000023,16.39999962,18.27000046,22.18000031,16.47999954,18.07999992,17.54999924,16.14999962,,
Brasil,BRA,Ingreso mediano alto,26.32999992,26.42000008,26.43000031,26.37999916,25.01000023,25.29999924,,25.88999939,26.10000038,26.29999924,25.89999962,27.29999924,28.46999931,29.37999916,29.03000069,28.44000053,,
Botswana,BWA,Ingreso mediano alto,,,48.02999878,,,42.11000061,,,,,0,,,,,35.25999832,,
Canadá,CAN,Ingreso alto,13.03999996,12.77000046,12.25,12.77999973,12.75,13.31999969,13.51000023,13.40999985,13.5,13.39999962,13.39000034,13.32999992,12.89000034,12.10999966,12.27000046,11.67000008,16.67000008,
Europa Central y del Báltico,CEB,Agregados,16.36395496,16.71569128,14.46073898,12.94350424,12.0968377,13.10286541,13.72862264,13.88760968,14.14775346,14.5753687,14.10097524,13.80964264,13.56763358,12.89552557,12.2191458,11.70951371,,
Suiza,CHE,Ingreso alto,6.53000021,7.210000038,7.099999905,6.059999943,6.179999828,7.690000057,6.980000019,5.710000038,6.320000172,6.670000076,6.559999943,6.739999771,6.389999866,5.46999979,4.75,4.46999979,,
Chile,CHL,Ingreso alto,,,25.43000031,,,27.71999931,24.48999977,24.77000046,22.84000015,22.87000084,23.64999962,23.59000015,20.89999962,19.70999908,18.92000008,19.36000061,,
Côte d'Ivoire,CIV,Países de ingreso mediano bajo,,,,,,,,,13.48999977,12.96000004,0,,46.45000076,44.15999985,,,,
Camerún,CMR,Países de ingreso mediano bajo,,,,15.94999981,,,16.04999924,,,,23.06999969,,,,,,,
"Congo, República Democrática del",COD,Países de ingreso bajo,,23.06999969,,,,,,,25.79000092,,0,,,,,,,
Colombia,COL,Ingreso mediano alto,38.77000046,38.40000153,38.11999893,36.36000061,35.25,34.38000107,32.77999878,32.70999908,31.52000046,30.88999939,29.51000023,29.87000084,29.23999977,30.28000069,31.06999969,32.36999893,,
Costa Rica,CRI,Ingreso mediano alto,30.22999954,28.23999977,26.95000076,26.30999947,25.55999947,27.05999947,24.44000053,27.54000092,23.05999947,24.22999954,23.72999954,25.02000046,26.18000031,25.12999916,23.88999939,21.63999939,,
Chipre,CYP,Ingreso alto,12.17000008,21.52000046,11.25,9.579999924,10.92000008,11.07999992,12.82999992,14.19999981,14.39000034,16.98999977,15.26000023,14.72999954,16.92000008,16.04000092,11.68999958,13.14999962,,
República Checa,CZE,Ingreso alto,14.22000027,15.40999985,11.10000038,9.109999657,8.75,9.890000343,10.27000046,9.5,9.770000458,10.81000042,9.850000381,9.520000458,8.56000042,8.260000229,7.800000191,8.159999847,,
Alemania,DEU,Ingreso alto,10.27999973,12.10999966,10.86999989,10.21000004,9.460000038,9.399999619,9.039999962,8.340000153,7.929999828,7,7.230000019,6.989999771,7.349999905,6.71999979,6.46999979,6.190000057,,
Dinamarca,DNK,Ingreso alto,6.519999981,5.070000172,3.809999943,3.839999914,5.119999886,5.909999847,6.210000038,7.179999828,7.329999924,6.360000134,5.96999979,6.929999828,5.909999847,7.630000114,7.599999905,7.449999809,,
República Dominicana,DOM,Ingreso mediano alto,28.98999977,27.18000031,26.14999962,25.64999962,25.76000023,27.63999939,27.43000031,25.27000046,25.21999931,27.22999954,26.52000046,31.06999969,31.62000084,30.54000092,30.95999908,30.46999931,,
Argelia,DZA,Países de ingreso mediano bajo,,,,,,39.93000031,39.06000137,37.40000153,34.79999924,34.59999847,34.70000076,32.09999847,,31.69000053,,,,
inicial del dividendo demográfico,EAR,Agregados,,48.59563234,,,,,45.08061067,,42.01421489,,0,,,,41.62133298,39.47369668,,
Europa y Asia central (excluido altos ingresos),ECA,Agregados,,,,,,27.77621018,26.8121617,26.06650734,25.47880169,23.17909406,23.32797249,22.67676559,22.71715361,,,,,
Europa y Asia central,ECS,Agregados,,,19.28193988,19.16267371,18.51272767,19.03877847,18.47183403,18.28040042,18.10501102,17.0177839,17.0909594,16.48343601,16.18477147,16.01160059,15.49328341,14.91976818,,
Ecuador,ECU,Ingreso mediano alto,27.67000008,27.61000061,27.04000092,25.51000023,24.92000008,24.71999931,23.61000061,24.89999962,24.45999908,26.01000023,30.01000023,29.26000023,26.68000031,25.97999954,26.04999924,25.80999947,,
"Egipto, República Árabe de",EGY,Países de ingreso mediano bajo,,,,,46.93000031,47.00999832,52.00999832,48.47000122,45.66999817,41.11000061,0,35.81000137,35.65999985,34.97000122,36.54000092,,,
Zona del Euro,EMU,Agregados,12.51665035,13.7905035,12.68778157,11.98824388,11.8333122,12.67788725,12.8836649,12.93013811,13.02694798,12.76791756,12.38549721,12.03112397,11.62138043,10.97766111,10.52427046,10.09138144,,
España,ESP,Ingreso alto,13.27999973,14.89999962,13.46000004,13.71000004,14.60000038,16.71999931,16.78000069,17.26000023,17.59000015,17.79000092,16.23999977,14.86999989,14.13000011,12.84000015,11.85999966,11.72000027,,
Estonia,EST,Ingreso alto,16.77000046,14.14000034,11.35999966,10.06000042,9.710000038,14.5,13.44999981,11.35999966,13.19999981,11.81999969,11.56999969,12.77000046,11.56000042,10.52000046,8.859999657,7.28000021,,
Unión Europea,EUU,Agregados,13.34821122,14.53194227,13.01102413,12.08829637,11.78512139,12.65461213,12.90027766,13.00870877,13.15546546,13.03770737,12.61582057,12.26476635,11.89270314,11.26568696,10.78689342,10.32562289,,
Finlandia,FIN,Ingreso alto,10.32999992,8.210000038,8.5,7.860000134,8.090000153,9.180000305,8.630000114,8.149999619,8.569999695,8.06000042,8.510000229,9.600000381,9.159999847,8.829999924,8.369999886,7.840000153,,
Fiji,FJI,Ingreso mediano alto,,32.84999847,,,,,,27.67000008,,,27.31999969,,29.59000015,,,,,
Francia,FRA,Ingreso alto,11.09000015,11.97000027,12.27999973,11.28999996,10.72000027,12.14999962,12.61999989,12.56999969,12.09000015,11.42000008,10.82999992,11.40999985,11.69999981,10.84000015,10.36999989,10.26000023,,
Reino Unido,GBR,Ingreso alto,6.710000038,9.550000191,9.619999886,13.69999981,14.07999992,14.52999973,15.14000034,15.35999966,14.94999981,14.35000038,13.07999992,12.39999962,11.48999977,10.39999962,11.22000027,10.56999969,,
Georgia,GEO,Ingreso mediano alto,,,,,,,,,39.15999985,36,32.95999908,33.52000046,31.69000053,28.67000008,30.98999977,29.05999947,,
Ghana,GHA,Países de ingreso mediano bajo,,,27.46999931,,,,,,,13.26000023,0,31.22999954,,33.27000046,,,,
Grecia,GRC,Ingreso alto,19.29999924,24.18000031,15.26000023,14.53999996,14.10000038,15.22999954,16.87999916,18.64999962,21.29999924,19.95000076,19.61000061,17.20000076,15.71000004,15.53999996,14.01000023,12.42000008,,
Guatemala,GTM,Ingreso mediano alto,47.25,,41,,,,42.13999939,42.29999924,38.59999847,43.74000168,44.02999878,46.83000183,45.81000137,46.74000168,,,,
Ingreso alto,HIC,Agregados,14.64281967,15.44281127,14.72382794,14.21833386,14.38224355,15.12530716,14.70700554,16.2690887,15.20033993,14.93640884,14.23186958,13.33631268,12.36292913,11.73172282,11.46793701,10.95958892,,
"Hong Kong, Región Administrativa Especial",HKG,Ingreso alto,,,,,,6.96999979,6.590000153,5.800000191,5.769999981,6.199999809,6.380000114,6.760000229,5.900000095,,,,,
Honduras,HND,Países de ingreso mediano bajo,,42.97000122,43.27999878,42.95999908,42,42.74000168,42.79000092,42.97999954,45.22999954,42.68999863,0,41.97999954,42.15999985,42.61000061,42.22000122,43.41999817,,
Croacia,HRV,Ingreso alto,,16.03000069,14.47999954,13.34000015,12.01000023,13.48999977,14.13000011,14.60999966,15.19999981,18.61000061,16.64999962,15.59000015,14.64000034,15.26000023,13.98999977,12.13000011,,
