Country Code,Country Name,Income_Group
ABW,Aruba,Ingreso alto
AFG,Afganistán,Países de ingreso bajo
AGO,Angola,Países de ingreso mediano bajo
ALB,Albania,Ingreso mediano alto
AND,Andorra,Ingreso alto
ARB,El mundo árabe,Agregados
ARE,Emiratos Árabes Unidos,Ingreso alto
ARG,Argentina,Ingreso mediano alto
ARM,Armenia,Ingreso mediano alto
ASM,Samoa Americana,Ingreso mediano alto
ATG,Antigua y Barbuda,Ingreso alto
AUS,Australia,Ingreso alto
AUT,Austria,Ingreso alto
AZE,Azerbaiyán,Ingreso mediano alto
BDI,Burundi,Países de ingreso bajo
BEL,Bélgica,Ingreso alto
BEN,Benin,Países de ingreso mediano bajo
BFA,Burkina Faso,Países de ingreso bajo
BGD,Bangladesh,Países de ingreso mediano bajo
BGR,Bulgaria,Ingreso mediano alto
BHR,Bahrein,Ingreso alto
BHS,Bahamas,Ingreso alto
BIH,Bosnia y Herzegovina,Ingreso mediano alto
BLR,Belarús,Ingreso mediano alto
BLZ,Belice,Países de ingreso mediano bajo
BMU,Bermudas,Ingreso alto
BOL,Bolivia,Países de ingreso mediano bajo
BRA,Brasil,Ingreso mediano alto
BRB,Barbados,Ingreso alto
BRN,Brunei Darussalam,Ingreso alto
BTN,Bhután,Países de ingreso mediano bajo
BWA,Botswana,Ingreso mediano alto
CAF,República Centroafricana,Países de ingreso bajo
CAN,Canadá,Ingreso alto
CEB,"Europa Central y del Báltico
",Agregados
CHE,Suiza,Ingreso alto
CHI,Islas del Canal,Ingreso alto
CHL,Chile,Ingreso alto
CHN,China,Ingreso mediano alto
CIV,Côte d'Ivoire,Países de ingreso mediano bajo
CMR,Camerún,Países de ingreso mediano bajo
COD,"Congo, República Democrática del",Países de ingreso bajo
COG,"Congo, República del",Países de ingreso mediano bajo
COL,Colombia,Ingreso mediano alto
COM,Comoras,Países de ingreso mediano bajo
CPV,Cabo Verde,Países de ingreso mediano bajo
CRI,Costa Rica,Ingreso mediano alto
CSS,Estados pequeos del Caribe,Agregados
CUB,Cuba,Ingreso mediano alto
CUW,Curacao,Ingreso alto
CYM,Islas Caimán,Ingreso alto
CYP,Chipre,Ingreso alto
CZE,República Checa,Ingreso alto
DEU,Alemania,Ingreso alto
DJI,Djibouti,Países de ingreso mediano bajo
DMA,Dominica,Ingreso mediano alto
DNK,Dinamarca,Ingreso alto
DOM,República Dominicana,Ingreso mediano alto
