Country Name,Country Code,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Angola,AGO,,22.37000084,,,,,20.26000023,,7.610000134,,,21.70999908,,,,,,
Albania,ALB,,,,,30.84000015,25.34000015,25.12999916,25.69000053,27.64999962,25.95999908,29.81999969,30.17000008,28.47999954,27.19000053,25.07999992,25.53000069,26.20000076,
Argentina,ARG,,16.10000038,15.31999969,14.25,,14.52000046,15.80000019,14.72999954,13.89000034,13.77999973,14.38000011,15.14000034,,,15.77999973,15.52999973,16.82999992,
Armenia,ARM,,,,,,,40.18999863,,44.77999878,34.33000183,46.43000031,37.52000046,36.34999847,35.38999939,35.72000122,28.31999969,28.06999969,
Australia,AUS,,,,,,,10.28999996,10.80000019,9.479999542,9.43999958,10.22000027,9.729999542,9.449999809,8.420000076,8.890000343,,,
Austria,AUT,,9.789999962,8.409999847,7.489999771,6.989999771,6.800000191,7.710000038,7.159999847,7.309999943,6.639999866,7.21999979,7.96999979,7.71999979,7.96999979,7.050000191,6.599999905,6.96999979,
Bélgica,BEL,,8.279999733,12.48999977,10.15999985,10.18999958,9.18999958,10.48999977,10.78999996,11.60999966,12.5,13.23999977,12.57999992,12.53999996,10.05000019,9.970000267,9.359999657,10.07999992,
Bangladesh,BGD,,,6.710000038,7.289999962,,,,14.5,,,8.840000153,,,9.970000267,9.81000042,,,
Bulgaria,BGR,27.52000046,22.89999962,23.65999985,19.88999939,17.70999908,15.56999969,18.10000038,20.29000092,21.76000023,21.56999969,22.06999969,19.19000053,18.62000084,17.06999969,13.56000042,13.35000038,12.72000027,
Bosnia y Herzegovina,BIH,,,,34.02999878,31.04999924,24.97999954,25.29999924,28.36000061,29.04000092,30.60000038,27.56999969,27.90999985,29.71999931,28.5,24.70999908,22.55999947,20.76000023,
Belice,BLZ,,,,,,,,,,10.14000034,14.07999992,14.69999981,13.86999989,15.02999973,14.85000038,,,
Bolivia,BOL,,,5.460000038,3.849999905,4.110000134,4,3.299999952,,4.119999886,3.420000076,4.119999886,3.75999999,6.760000229,4.699999809,5.010000229,4.110000134,4.309999943,
Brasil,BRA,11.94999981,11.69999981,11.84000015,12.07999992,12.21000004,11.93000031,12.39000034,,13.06000042,14.02999973,14.52999973,14.38000011,15.82999992,18.21999931,19.46999931,19.45000076,18.79999924,
Botswana,BWA,,,,36.08000183,,,28.52000046,,,,,,,,,,31.14999962,
