Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afganistán,AFG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,14.36,14.61,14.61,14.76,14.95,14.58,14.76,14.77,14.84,14.79,14.75,15.02,14.87,14.94,14.96,14.54,14.85,14.27,14.99,14.76,14.79,14.86,14.7,14.53,14.45,14.33,14.09,13.92,13.81,
Angola,AGO,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.59,2.83,2.9,2.91,2.94,3.02,2.91,2.97,2.92,2.8,2.81,2.94,2.84,2.91,2.92,2.81,2.8,2.77,2.85,10.92,7.72,7.81,7.78,7.71,7.65,7.5,7.41,7.28,7.22,
Albania,ALB,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,15.6,16.04,16.64,16.78,16.79,16.76,16.41,16.78,16.95,16.92,16.96,16.99,17.01,16.94,16.85,16.62,16.4,13.75,15.73,15.88,13.75,11.46,13.34,15.45,17.12,14.45,12.48,11.87,11.31,
El mundo árabe,ARB,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,15.79844747,14.92286067,16.39820122,17.18566761,17.57503486,16.10349768,16.17479478,16.30675493,16.17138146,17.51815418,17.43880266,17.94758993,17.79733014,17.62174104,17.65147231,16.90652827,15.87460253,15.87849772,17.45455187,17.99665263,18.86390817,19.34257023,19.45571362,19.6889105,20.03159782,19.99726936,20.38842597,19.90343268,19.86978963,
Emiratos Árabes Unidos,ARE,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.35,2.11,2.04,2.2,2.36,2.34,2.46,2.54,2.52,2.72,3.4,4.04,5.03,6.09,7.22,6.8,7.04,6.71,6.53,5.77,5.96,5.72,5.27,4.62,4.45,4.2,7.14,6.19,6.33,
Argentina,ARG,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,5.75,6.71,12.56,13.93,22.19,19.19,17.63,14.03,15.15,16.34,17.19,18.83,17.55,15.79,13.56,12.39,10.5,9.72,9.86,9.2,8.5,8.81,8.48,8.38,8.68,9.14,9.46,10.54,10.7,
Armenia,ARM,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,2.19,2.42,7.5,8.62,10.28,14.91,17.14,13.65,15.22,14.48,13.8,13.29,12.65,11.86,11.23,10.46,9.77,14.01,19.68,21.29,19.65,18.18,18.14,19.47,19.25,17.48,17.47,20.4,20.27,
Australia,AUS,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,9.15,9.93,10,9.36,8.1,8.24,8.07,7.33,6.66,6.06,6.44,6.16,5.98,5.54,5.22,4.92,4.79,4.57,5.4,5.38,5.31,5.33,5.61,6.17,6.07,5.78,5.67,5.32,5.11,
Austria,AUT,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,3.54,3.77,4.5,3.97,4.9,5.21,5.27,5.59,4.76,4.59,4.13,4.53,4.34,5.89,5.86,5.6,5.3,4.41,5.09,4.63,4.58,4.79,5.29,5.38,5.31,5.54,5.03,4.65,4.35,
Azerbaiyán,AZE,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,0.9,1.82,4.69,6.52,7.6,8.7,9.92,10.86,11.88,12.71,11.52,10.38,9.27,8.04,7.29,6.34,5.5,5.55,6.58,6.91,6.45,6.09,5.95,5.84,5.87,5.91,5.93,5.77,5.73,
Burundi,BDI,"Desempleo, mujeres (% de la población activa femenina) (estimación modelado OIT)",SL.UEM.TOTL.FE.ZS,1.24,1.3,1.38,1.38,1.37,1.41,1.37,1.34,1.35,1.34,1.33,1.35,1.38,1.37,1.29,1.23,1.16,1.15,1.26,1.28,1.26,1.24,1.21,1.16,1.11,1.1,1.05,1,0.98,
