Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afganistán,AFG,10.82,10.88,11.06,11.09,11.04,11.12,11.08,11.08,11.13,11.1,11.07,11.08,11.1,11,10.87,10.75,10.5,10.53,10.81,10.92,10.9,10.88,10.89,10.78,10.68,10.57,10.42,10.29,10.19
Angola,AGO,4.83,4.68,4.74,4.76,4.73,4.67,4.76,4.7,4.8,4.89,4.86,4.79,4.88,4.77,4.68,4.64,4.52,4.49,4.71,7.95,7.01,6.93,6.99,6.91,6.88,6.9,6.78,6.72,6.63
Albania,ALB,16.69,16.56,16.42,16.41,16.39,16.42,16.67,16.38,16.38,16.33,16.25,16.34,16.32,16.22,16.07,15.85,15.65,12.55,12.21,12.76,13.27,14.78,17.63,19.81,17.25,16.12,14.41,12.62,11.58
El mundo árabe,ARB,10.44887173,11.28382292,11.85511183,11.78360446,12.05325709,11.37734582,10.76012368,10.80403774,10.95958089,11.15293797,10.99071637,10.88718464,10.85055706,9.620851345,9.399976125,8.59380724,8.292879487,7.914168002,7.044385406,7.004785581,8.082066079,8.183018921,8.210358054,8.281236708,8.222691323,7.933856292,8.141571911,7.7885134,7.736826718
Emiratos Árabes Unidos,ARE,1.68,1.7,1.69,1.7,1.73,1.83,1.92,2.01,2.1,2.19,2.28,2.35,2.38,2.45,2.56,2.56,2.47,2.36,2.02,1.92,1.72,1.54,1.4,1.35,1.22,1.12,1.48,1.39,1.42
Argentina,ARG,5.24,6.12,8.4,10.24,16.42,15.63,12.79,11.64,13.25,14.02,17.41,20.13,13.79,11.87,10.03,8.4,7.01,6.5,7.78,6.67,6.25,6.08,6.12,6.49,6.84,7.12,7.53,8.23,9.19
Armenia,ARM,1.15,1.31,3.55,4.97,3.75,4.61,5.42,5.75,7.71,8.05,8.37,8.69,9.03,9.4,9.58,9.73,9.85,13.08,17.36,17.09,17.37,16.52,14.43,15.75,17.39,17.73,17.91,17.83,17.65
Australia,AUS,9.89,11.31,11.51,9.98,8.74,8.71,8.58,7.94,7.04,6.46,6.98,6.53,5.89,5.28,4.88,4.67,4.04,3.96,5.69,5.08,4.9,5.14,5.71,6,6.04,5.65,5.53,5.28,5.21
Austria,AUT,3.33,3.46,4.07,3.21,3.93,5.34,5.06,5.47,4.65,4.76,3.91,5.11,5.13,5.79,5.44,4.94,4.49,3.89,5.49,4.98,4.55,4.93,5.37,5.83,6.09,6.43,5.91,5.02,4.61
Azerbaiyán,AZE,0.9,1.78,4.32,6.09,6.81,7.52,8.31,9.17,9.95,10.88,10.33,9.72,9.07,7.94,7.24,6.89,7.1,6.16,4.94,4.39,4.43,4.32,4.04,4.02,4.09,4.14,4.12,4.08,4.01
