"","Codigo.Pais","Nombre.Pais","Tasa.Natalidad","Penetracion.Internet","Grupo.Ingresos","Pais","Region"
"1","ABW","Aruba",10.244,78.9,"Ingreso alto","Aruba","The Americas"
"2","AFG","Afghanistan",35.253,5.9,"Ingreso bajo","Afghanistan","Asia"
"3","AGO","Angola",45.985,19.1,"Ingreso medio alto","Angola","Africa"
"4","ALB","Albania",12.877,57.2,"Ingreso medio alto","Albania","Europe"
"5","ARE","United Arab Emirates",11.044,88,"Ingreso alto","United Arab Emirates","Middle East"
"6","ARG","Argentina",17.716,59.9,"Ingreso alto","Argentina","The Americas"
"7","ARM","Armenia",13.308,41.9,"Ingreso medio bajo","Armenia","Asia"
"8","ATG","Antigua and Barbuda",16.447,63.4,"Ingreso alto","Antigua and Barbuda","The Americas"
"9","AUS","Australia",13.2,83,"Ingreso alto","Australia","Oceania"
"10","AUT","Austria",9.4,80.6188,"Ingreso alto","Austria","Europe"
"11","AZE","Azerbaijan",18.3,58.7,"Ingreso medio alto","Azerbaijan","Asia"
"12","BDI","Burundi",44.151,1.3,"Ingreso bajo","Burundi","Africa"
"13","BEL","Belgium",11.2,82.1702,"Ingreso alto","Belgium","Europe"
"14","BEN","Benin",36.44,4.9,"Ingreso bajo","Benin","Africa"
"15","BFA","Burkina Faso",40.551,9.1,"Ingreso bajo","Burkina Faso","Africa"
"16","BGD","Bangladesh",20.142,6.63,"Ingreso medio bajo","Bangladesh","Asia"
"17","BGR","Bulgaria",9.2,53.0615,"Ingreso medio alto","Bulgaria","Europe"
"18","BHR","Bahrain",15.04,90.0000397,"Ingreso alto","Bahrain","Middle East"
"19","BHS","Bahamas, The",15.339,72,"Ingreso alto","Bahamas, The","The Americas"
"20","BIH","Bosnia and Herzegovina",9.062,57.79,"Ingreso medio alto","Bosnia and Herzegovina","Europe"
"21","BLR","Belarus",12.5,54.17,"Ingreso medio alto","Belarus","Europe"
"22","BLZ","Belize",23.092,33.6,"Ingreso medio alto","Belize","The Americas"
"23","BMU","Bermuda",10.4,95.3,"Ingreso alto","Bermuda","The Americas"
"24","BOL","Bolivia",24.236,36.94,"Ingreso medio bajo","Bolivia","The Americas"
"25","BRA","Brazil",14.931,51.04,"Ingreso medio alto","Brazil","The Americas"
"26","BRB","Barbados",12.188,73,"Ingreso alto","Barbados","The Americas"
