,Periodo,Total,Primaria incompleta,Con primaria completa,Con secundaria completa,Medio superior y superior,No especificado,Total,Con experiencia,Sin experiencia
2019,Enero,100,4.51058423,12.54133248,36.11424915,46.83383413,0,100,90.88769135,9.11230865
2019,Febrero,100,4.43255906,10.73321277,31.50006622,53.27695434,0.05720762,100,88.77335797,11.22664203
2019,Marzo,100,5.11803521,12.08238113,34.81195647,47.98762719,0,100,88.59164037,11.40835963
2019,Abril,100,4.98169697,13.49513334,33.56842678,47.92444543,0.03029747,100,90.35391613,9.64608387
2019,Mayo,100,3.9107739,12.09104871,37.48102694,46.39249531,0.12465514,100,91.33584342,8.66415658
2019,Junio,100,4.26462431,11.88288876,36.79978006,47.02570141,0.02700546,100,89.73992039,10.26007961
2019,Julio,100,2.77862129,10.5807624,34.42415092,52.11942489,0.0970405,100,90.579527,9.420473
2019,Agosto,100,3.71560987,9.23502672,38.97657427,48.07278914,0,100,90.32248425,9.67751575
2019,Septiembre,100,6.0164546,10.27624937,38.44985624,45.23989884,0.01754095,100,90.26481798,9.73518202
2019,Octubre,100,5.16988136,11.00760475,34.35897755,49.35714933,0.10638701,100,89.77568156,10.22431844
2019,Noviembre,100,5.76592048,9.41416813,35.59904095,49.20298367,0.01788677,100,92.0850546,7.9149454
2019,Diciembre,100,5.84924599,10.69229372,34.12883222,49.27476403,0.05486405,100,87.92139132,12.07860868
2020,Enero,100,4.50202808,9.70820231,38.32450605,47.4486965,0.01656706,100,89.9020091,10.0979909
2020,Febrero,100,3.95011331,7.30369433,37.91128447,50.83490789,0,100,90.5573431,9.4426569
2020,Marzo,100,4.10134943,9.88266613,33.86158279,52.10459849,0.04980316,100,87.89753593,12.10246407
2020,Abril,100,10.07232196,16.75114041,41.27033245,31.88171321,0.02449197,100,99.81663994,0.18336006
2020,Mayo,100,16.37654121,8.85409621,36.57746344,38.17627337,0.01562577,100,98.71837224,1.28162776
2020,Junio,100,4.900098451,17.7297611,38.65541042,38.69372248,0.021007543,100,98.21724292,1.78275708
2020,Julio,100,15.83664639,7.421937429,36.79234599,39.94907019,0,100,94.80548346,5.194516542
2020,Agosto,100,3.699013615,12.12121429,34.94996372,49.18158625,0.048222127,100,94.879563,5.120437004
2020,Septiembre,100,4.471547831,9.801673724,33.25708909,52.41005168,0.05963767,100,93.5936222,6.4063778
2020,Octubre,100,6.188691039,10.19500137,34.42532161,49.09994653,0.091039451,100,93.68790589,6.312094114
2020,Noviembre,100,4.770328025,12.70187713,32.9400319,49.52750513,0.060257819,100,94.00934781,5.990652186
2020,Diciembre,100,4.222115625,11.17591526,27.77019788,56.69576391,0.13600733,100,91.549641,8.450359
2021,Enero,100,5.311710305,10.41855496,32.71722576,51.5253175,0.02719147,100,91.42097508,8.579024919
2021,Febrero,100,4.545960415,9.763996528,31.78940721,53.69099604,0.209639804,100,89.50881798,10.49118202
2021,Marzo,100,3.931546457,11.2598518,33.15357229,51.57456819,0.080461262,100,89.77013493,10.22986507
2021,Abril,100,3.284654759,10.93222153,33.1325434,52.62894566,0.021634645,100,84.97176847,15.02823153
2021,Mayo,100,3.943024573,10.34566703,37.63378244,47.9697294,0.107796554,100,92.55669608,7.443303916
