id_indicator,id_country,country,Age,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
1.1.1,8,Albania,15+,0.6,0.6,0.6,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.2,na,0.3,0.4,0.3,0.2,0.4,0.3,na
1.1.1,8,Albania,15-24,1.6,1.5,1.6,0.8,0.7,0.6,0.4,0.3,0.2,0.3,0.4,0.5,na,0.7,0.9,0.6,0.6,0.8,0.7,na
1.1.1,8,Albania,25+,0.4,0.4,0.4,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,na,0.3,0.4,0.3,0.2,0.3,0.3,na
1.1.1,12,Algeria,15+,1.5,1.2,1.0,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,na
1.1.1,12,Algeria,15-24,1.9,1.5,1.1,0.9,0.7,0.6,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,na
1.1.1,12,Algeria,25+,1.5,1.2,1.0,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,na
1.1.1,24,Angola,15+,32.0,33.7,32.1,34.8,34.6,32.6,31.7,30.0,29.0,31.9,31.8,32.9,33.1,33.8,34.7,36.9,38.3,41.7,47.1,na
1.1.1,24,Angola,15-24,37.9,39.6,38.1,40.7,40.5,38.5,37.6,35.7,34.6,37.4,37.8,38.8,39.1,39.8,40.7,42.9,44.2,47.4,52.1,na
1.1.1,24,Angola,25+,29.9,31.6,30.0,32.7,32.5,30.5,29.7,28.0,27.0,29.9,29.8,30.9,31.2,31.9,32.7,35.0,36.4,39.9,45.5,na
1.1.1,32,Argentina,15+,3.0,6.0,9.8,3.9,2.6,1.4,1.1,0.7,0.7,0.7,0.6,0.3,0.2,0.2,0.2,na,0.2,0.2,na,na
1.1.1,32,Argentina,15-24,2.4,4.8,8.0,3.2,2.2,1.2,0.9,0.6,0.6,0.6,0.5,0.2,0.2,0.2,0.1,na,0.1,0.1,na,na
1.1.1,32,Argentina,25+,3.1,6.2,10.1,4.0,2.7,1.5,1.1,0.8,0.8,0.7,0.7,0.3,0.2,0.2,0.2,na,0.2,0.2,na,na
1.1.1,51,Armenia,15+,10.6,11.3,8.1,5.9,na,1.6,1.1,0.7,0.3,na,0.3,0.4,0.3,na,0.6,0.4,0.3,0.3,0.4,na
1.1.1,51,Armenia,15-24,10.0,10.9,7.9,5.7,na,1.5,1.0,0.6,0.2,na,0.2,0.4,0.4,na,0.9,0.6,0.5,0.4,0.6,na
1.1.1,51,Armenia,25+,10.7,11.4,8.1,5.9,na,1.6,1.2,0.7,0.3,na,0.3,0.4,0.2,na,0.6,0.3,0.3,0.2,0.4,na
1.1.1,53,Australia and New Zealand,15+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.1,53,Australia and New Zealand,15-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.1,53,Australia and New Zealand,25+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1.1,50,Bangladesh,15+,29.9,28.8,29.1,27.6,24.9,21.7,20.2,18.7,17.8,17.2,16.3,15.2,14.6,13.8,13.2,12.4,12.0,9.6,6.5,na
1.1.1,50,Bangladesh,15-24,30.3,29.2,29.5,28.1,25.5,22.2,20.7,19.3,18.5,18.1,17.2,16.3,15.7,15.0,14.6,13.7,13.5,10.8,7.3,na
1.1.1,50,Bangladesh,25+,29.8,28.6,28.9,27.4,24.8,21.5,20.1,18.5,17.6,16.9,16.0,15.0,14.3,13.5,12.9,12.1,11.7,9.4,6.3,na
