id_country,country,Grupo.Ingresos,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
8,Albania,Ingreso medio alto,Europe,0.866666667,0.833333333,0.866666667,0.433333333,0.4,0.333333333,0.233333333,0.166666667,0.133333333,0.166666667,0.233333333,0.266666667,na,0.433333333,0.566666667,0.4,0.333333333,0.5,0.433333333,na
12,Algeria,Ingreso medio alto,Africa,1.633333333,1.3,1.033333333,0.866666667,0.7,0.6,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,na
24,Angola,Ingreso medio alto,Africa,33.26666667,34.96666667,33.4,36.06666667,35.86666667,33.86666667,33,31.23333333,30.2,33.06666667,33.13333333,34.2,34.46666667,35.16666667,36.03333333,38.26666667,39.63333333,43,48.23333333,na
32,Argentina,Ingreso alto,The Americas,2.833333333,5.666666667,9.3,3.7,2.5,1.366666667,1.033333333,0.7,0.7,0.666666667,0.6,0.266666667,0.2,0.2,0.166666667,na,0.166666667,0.166666667,na,na
51,Armenia,Ingreso medio bajo,Asia,10.43333333,11.2,8.033333333,5.833333333,na,1.566666667,1.1,0.666666667,0.266666667,na,0.266666667,0.4,0.3,na,0.7,0.433333333,0.366666667,0.3,0.466666667,na
50,Bangladesh,Ingreso medio bajo,Asia,30,28.86666667,29.16666667,27.7,25.06666667,21.8,20.33333333,18.83333333,17.96666667,17.4,16.5,15.5,14.86666667,14.1,13.56666667,12.73333333,12.4,9.933333333,6.7,na
112,Belarus,Ingreso medio alto,Europe,4.566666667,1.066666667,0.7,0.5,0.133333333,0.133333333,0.033333333,0,0.133333333,0,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,na
84,Belize,Ingreso medio alto,The Americas,8.666666667,8.366666667,7.833333333,7.233333333,8.033333333,8.633333333,9.8,8.933333333,10.1,10.1,10,9.033333333,9.966666667,9.133333333,9.1,9.166666667,9.066666667,10.36666667,10.6,na
204,Benin,Ingreso bajo,Africa,47.33333333,45.66666667,44.8,na,44.66666667,46.23333333,46.53333333,46.16666667,45.93333333,47.23333333,48.46666667,na,48.53333333,47.53333333,44.86666667,45.53333333,45.3,43.76666667,41.8,na
64,Bhutan,Ingreso medio bajo,Asia,27.6,na,24.53333333,na,16.8,12.2,na,10.46666667,12.6,7.933333333,3.733333333,3.8,3.133333333,2.433333333,2.566666667,na,2.3,2.2,1.1,na
68,Bolivia (Plurinational State of),Ingreso medio bajo,The Americas,27.2,21.8,24.63333333,19.73333333,13.13333333,18.8,15.66666667,12.13333333,10.83333333,9.533333333,8.9,6.966666667,7.8,7.233333333,6.833333333,6.766666667,8,6.966666667,5.733333333,na
70,Bosnia and Herzegovina,Ingreso medio alto,Europe,0.1,0.1,0.1,0.1,0.033333333,0.033333333,0,0,0,0,0,0,0,0,0,0,0,0,0,na
72,Botswana,Ingreso medio alto,Africa,23.5,25.36666667,24.06666667,22.73333333,21.66666667,19.93333333,17,14.7,12.53333333,14.53333333,12.93333333,12.56666667,12.43333333,10.33333333,9.966666667,11.73333333,11.4,11.03333333,10.53333333,na
76,Brazil,Ingreso medio alto,The Americas,na,7.5,6.9,7.366666667,6.166666667,5.5,4.5,3.933333333,3.066666667,2.866666667,na,2.233333333,1.633333333,na,na,na,na,na,na,na
854,Burkina Faso,Ingreso bajo,Africa,76.13333333,69.93333333,65.4,na,56.3,55.8,55.26666667,54.66666667,53.06666667,53.6,51.76666667,48.96666667,45.96666667,43.3,41.26666667,40.56666667,38.3,35.9,32.93333333,na
108,Burundi,Ingreso bajo,Africa,83.13333333,82.03333333,80.13333333,80.8,79.23333333,78.86666667,77.03333333,76.8,75.56666667,75.16666667,73.8,73.36666667,72.66666667,71.3,70.63333333,73.8,75.66666667,76.8,77.53333333,na
132,Cabo Verde,Ingreso medio bajo,Africa,14.43333333,14.33333333,na,12.23333333,10.83333333,9.5,8.4,6.866666667,5.433333333,4.666666667,4.266666667,3.9,3.5,3.166666667,2.766666667,2.266666667,1.8,1.5,1.166666667,na
120,Cameroon,Ingreso medio bajo,Africa,27.53333333,na,24.46666667,25.36666667,25.1,26.96666667,28.26666667,na,28.43333333,29.53333333,29.26666667,28.06666667,26.9,24.9,22.96666667,22,21.06666667,20.73333333,20.23333333,na
140,Central African Republic,Ingreso bajo,Africa,69.16666667,66.16666667,63.53333333,64.76666667,62.56666667,65.43333333,64.66666667,64.26666667,66.06666667,63.03333333,61.7,60.23333333,58,na,na,na,na,na,na,na
148,Chad,Ingreso bajo,Africa,74.03333333,70.16666667,67.93333333,62.5,46.83333333,39,40.73333333,40.83333333,40.93333333,41.03333333,36.36666667,37.26666667,34.96666667,34.36666667,33.33333333,33.53333333,37.6,40.7,40.93333333,na
152,Chile,Ingreso alto,The Americas,1.8,1.8,1.766666667,1.666666667,1,0.533333333,0.366666667,0.333333333,0.3,0.333333333,0.266666667,0.166666667,0.1,0.1,0.1,0.1,0.1,0.1,0.066666667,na
