Indicator,GeoAreaCode,GeoAreaName,2000,2005,2010,2014,2016,2018
11.1.1,4,Afghanistan,na,na,na,62.7,71.3,70.7
11.1.1,24,Angola,86.5,86.5,65.8,55.5,48.8,48.6
11.1.1,32,Argentina,32.9,26.2,20.8,16.7,14.7,14.7
11.1.1,51,Armenia,na,na,na,14.4,9.3,9.3
11.1.1,53,Australia and New Zealand,0.03,na,na,0.03,0.01,0.01
11.1.1,50,Bangladesh,77.8,70.8,61.6,55.1,49.4,47.2
11.1.1,112,Belarus,na,na,na,na,45.2,33.2
11.1.1,84,Belize,na,na,na,10.8,5.1,5
11.1.1,204,Benin,74.3,71.8,69.8,61.5,59.6,58.8
11.1.1,68,Bolivia (Plurinational State of),54.3,50.4,47.3,43.5,49.5,48.5
11.1.1,70,Bosnia and Herzegovina,na,na,na,na,7.6,7.6
11.1.1,76,Brazil,31.5,29.0,26.9,22.3,16.3,16.3
11.1.1,854,Burkina Faso,65.9,59.5,na,65.8,58.5,57.1
11.1.1,108,Burundi,na,64.3,na,57.9,48.6,47.7
11.1.1,116,Cambodia,na,78.9,na,55.1,47.7,45.1
11.1.1,120,Cameroon,48.4,47.4,46.1,37.8,35.8,33.7
11.1.1,124,Canada,na,na,na,na,0.01,0.01
11.1.1,140,Central African Republic,91.9,94.1,95.9,93.3,97.5,95.4
11.1.1,62,Central and Southern Asia,46,na,na,32,32.3,31.2
11.1.1,148,Chad,93.9,91.3,89.3,88.2,87.0,86.9
11.1.1,152,Chile,na,9.0,na,9.0,9.0,8.8
11.1.1,156,China,37.3,32.9,29.1,25.2,na,24.6
11.1.1,170,Colombia,22.3,17.9,14.3,13.1,28.1,27.8
11.1.1,174,Comoros,65.4,68.9,na,69.6,69.6,68.4
11.1.1,178,Congo,na,53.4,49.9,46.9,48.0,47.8
11.1.1,188,Costa Rica,na,10.9,na,5.5,3.9,3.9
11.1.1,384,Côte d'Ivoire,55.3,56.2,57.0,56.0,59.2,60.1
11.1.1,192,Cuba,na,na,na,na,6.6,6.6
11.1.1,180,Democratic Republic of the Congo,na,76.4,61.7,74.8,79.1,77.5
11.1.1,208,Denmark,na,na,na,na,0.001,0.001
11.1.1,262,Djibouti,na,na,na,65.6,65.6,64.5
11.1.1,214,Dominican Republic,21.0,17.6,14.8,12.1,14.8,14.8
